,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
122,shchuchye,20,IE,1554615248,100,54.63,-8.45,38.94,3.94
123,shchuchye,0,FR,1554615425,86,48.95,4.24,41,9.17
124,shchuchye,0,LY,1554615400,46,26.59,12.77,58.92,4.38
125,shchuchye,8,NG,1554615249,87,8.32,4.47,75.66,10.42
126,shchuchye,75,US,1554615697,82,36.62,-121.92,59,5.82
127,shchuchye,0,NO,1554615400,71,78.22,15.63,-2.55,2.37
128,shchuchye,0,AU,1554615196,37,-42.78,147.06,69.8,18.34
129,shchuchye,80,BR,1554615250,94,-20.63,-46,65.94,2.15
130,shchuchye,90,US,1554615218,100,39.95,-94.76,59,8.05
131,shchuchye,88,UY,1554615250,92,-33.69,-53.46,61.17,4.05
132,shchuchye,88,NG,1554615401,93,5.43,7.07,75.3,4.16
133,shchuchye,75,MU,1554615240,54,-20.34,57.76,84.2,11.41
134,shchuchye,0,na,0,0,0,0,0,0
135,shchuchye,0,na,0,0,0,0,0,0
136,shchuchye,0,IN,1554613200,22,15.34,74.49,91.4,5.82
137,shchuchye,76,CD,1554615006,98,-4.32,15.31,73.32,1.59
138,shchuchye,0,RU,1554615403,86,65.58,-170.99,15,17.36
139,shchuchye,75,JP,1554615200,36,37.52,140.86,66,17.22
140,shchuchye,0,NG,1554615712,87,9.67,8.4,69.45,4.72
141,shchuchye,40,IT,1554615424,76,41.89,12.48,54,5.82
142,shchuchye,68,FO,1554614400,97,62.23,-6.59,41,9.17
143,shchuchye,12,ZA,1554615346,92,-33.59,26.89,62.01,1.99
144,shchuchye,68,BR,1554615253,95,-6.66,-69.87,74.04,3.6
145,shchuchye,0,na,0,0,0,0,0,0
146,shchuchye,0,RU,1554613200,41,56.17,91.82,42.8,13.42
147,shchuchye,1,US,1554615227,93,39.31,-74.98,51.8,1.03
148,shchuchye,0,na,0,0,0,0,0,0
149,shchuchye,8,PE,1554615714,91,-13.74,-72.9,32.64,0.25
150,shchuchye,90,US,1554615521,93,45.52,-122.67,50,11.41
151,shchuchye,0,ET,1554615255,48,3.52,39.05,81.42,4.27
152,shchuchye,20,BS,1554615321,100,26.54,-77.06,74.76,11.65
153,shchuchye,0,na,0,0,0,0,0,0
154,shchuchye,0,GL,1554615255,70,77.48,-69.36,12.84,12.77
155,shchuchye,80,PG,1554615256,89,-4.06,144.07,78.9,3.15
156,shchuchye,8,PE,1554613200,88,-13.71,-76.2,69.8,3.36
157,shchuchye,40,ID,1554613200,79,-0.92,100.36,86,4.7
158,shchuchye,92,CK,1554613200,78,-21.21,-159.78,75.2,4.7
159,shchuchye,68,NZ,1554614955,63,-39.19,173.88,64.99,8.99
160,shchuchye,0,AR,1554615617,61,-35.66,-63.75,52.71,6.4
161,shchuchye,88,RU,1554615716,97,67.47,78.7,29.31,21.72
162,shchuchye,90,US,1554615363,70,48.2,-114.32,42.8,6.93
163,shchuchye,0,na,0,0,0,0,0,0
164,shchuchye,40,CA,1554613200,56,68.22,-135.01,12.2,8.05
165,shchuchye,80,RU,1554615258,52,46.45,135.83,38.94,2.93
166,shchuchye,80,BR,1554615409,95,-30.17,-50.22,69.45,7.74
167,shchuchye,40,TR,1554612600,80,38.8,42.73,41,2.24
168,shchuchye,88,RU,1554615259,89,71.98,102.47,16.62,13.33
169,shchuchye,44,CN,1554615259,21,35.6,103.21,62.61,7.18
170,shchuchye,75,CA,1554613333,72,63.75,-68.52,17.01,11.41
171,shchuchye,0,SD,1554615260,16,14.2,24.66,73.05,9.42
172,shchuchye,20,GE,1554614973,66,43.16,40.34,57,2.24
